股票代號,股票名稱,2021上市上櫃
4198,欣大健康,2
4205,中華食,2
4207,環泰,2
4303,信立,2
4304,勝昱,2
4305,世坤,2
4306,炎洲,1
4401,東隆興,2
4402,福大,2
4406,新昕纖,2
4413,飛寶企業,2
4414,如興,1
4416,三圓,2
4417,金洲,2
4419,元勝,2
4420,光明,2
4426,利勤,1
4429,聚紡,2
4430,耀億,2
4432,銘旺實,2
4433,興采,2
4438,廣越,1
4439,冠星-KY,1
4440,宜新實業,1
4502,健信,2
4503,金雨,2
4506,崇友,2
4510,高鋒,2
4513,福裕,2
4523,永彰,2
4526,東台,1
4527,方土霖,2
4528,江興鍛,2
4529,淳紳,2
4530,宏易,2
4532,瑞智,1
4533,協易機,2
4534,慶騰,2
4535,至興,2
4536,拓凱,1
4538,大詠城,2
4540,全球傳動,1
4541,晟田,2
4542,科嶠,2
4543,萬在,2
4545,銘鈺,1
4549,桓達,2
4550,長佳,2
4551,智伸科,1
4552,力達-KY,1
4554,橙的,2
4555,氣立,1
4556,旭然,2
4557,永新-KY,1
4560,強信-KY,1
4561,健椿,2
4562,穎漢,1
4563,百德,2
4564,元翎,1
4566,時碩工業,1
4568,科際精密,2
4571,鈞興-KY,1
4572,駐龍,1
4576,大銀微系統,1
4580,捷流閥業,2
4581,光隆精密-KY,1
4609,唐鋒,2
4702,中美實,2
4706,大恭,2
4707,磐亞,2
4711,永純,2
4712,南璋,2
4714,永捷,2
4716,大立,2
4720,德淵,1
4721,美琪瑪,2
4722,國精化,1
4726,永昕,2
4728,雙美,2
4729,熒茂,2
4735,豪展,2
4736,泰博,2
4737,華廣,1
4739,康普,1
4741,泓瀚,2
4743,合一,2
4744,皇將,2
4745,合富-KY,2
4746,台耀,1
4747,強生,2
4754,國碳科,2
4755,三福化,1
4760,勤凱,2
4763,材料-KY,1
4764,雙鍵,1
4766,南寶,1
4767,誠泰科技,2
4803,VHQ-KY,2
4804,大略-KY,2
4806,昇華,2
4807,日成-KY,1
4903,聯光通,2
4904,遠傳,1
4905,台聯電,2
4906,正文,1
4907,富宇,2
4908,前鼎,2
4909,新復興,2
4911,德英,2
4912,聯德控股-KY,1
4915,致伸,1
4916,事欣科,1
4919,新唐,1
4924,欣厚-KY,2
4927,泰鼎-KY,1
4930,燦星網,1
4931,新盛力,2
4933,友輝,2
4934,太極,1
4935,茂林-KY,1
4938,和碩,1
4939,亞電,2
4942,嘉彰,1
4943,康控-KY,1
4944,兆遠,2
4945,陞達科技,2
4946,辣椒,2
4950,牧東,2
4952,凌通,1
4953,緯軟,2
4956,光鋐,1
4958,臻鼎-KY,1
4960,誠美材,1
4961,天鈺,1
4966,譜瑞-KY,2
4967,十銓,1
4968,立積,1
4971,IET-KY,2
4972,湯石照明,2
4973,廣穎,2
4974,亞泰,2
4976,佳凌,1
4977,眾達-KY,1
4979,華星光,2
4987,科誠,2
4989,榮科,1
4991,環宇-KY,2
4994,傳奇,1
4995,晶達,2
4999,鑫禾,1
5007,三星,1
5009,榮剛,2
5011,久陽,2
5013,強新,2
